Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
42,false,29,3,2,1,0,g2,null
42,false,30,0,2,1,0,g2,null
42,false,30,1,2,1,0,c2,null
42,false,30,2,2,1,0,g1,null
42,false,30,3,2,1,0,c1,null
42,true,0,0,2,1,1,c2,right
42,false,31,0,2,1,1,g2,null
42,false,31,1,2,1,1,g1,null
42,false,31,2,2,1,1,c2,null
42,false,31,3,2,1,1,c1,null
42,false,32,0,2,1,1,c1,null
42,false,32,1,2,1,1,g1,null
42,false,32,2,2,1,1,g2,null
42,false,32,3,2,1,1,c2,null
42,false,33,0,2,1,1,c1,null
42,false,33,1,2,1,1,c2,null
42,false,33,2,2,1,1,g1,null
42,false,33,3,2,1,1,g2,null
42,false,34,0,2,1,1,g1,null
42,false,34,1,2,1,1,c2,null
42,false,34,2,2,1,1,g2,null
42,false,34,3,2,1,1,c1,null
42,false,35,0,2,1,1,g1,null
42,false,35,1,2,1,1,g2,null
42,false,35,2,2,1,1,c2,null
42,false,35,3,2,1,1,c1,null
42,false,36,0,2,1,1,g1,null
42,false,36,1,2,1,1,c2,null
42,false,36,2,2,1,1,c1,null
42,false,36,3,2,1,1,g2,null
42,false,37,0,2,1,1,g1,null
42,false,37,1,2,1,1,c2,null
42,false,37,2,2,1,1,g2,null
42,false,37,3,2,1,1,c1,null
42,false,38,0,2,1,1,c2,null
42,false,38,1,2,1,1,g2,null
42,false,38,2,2,1,1,c1,null
42,false,38,3,2,1,1,g1,null
42,false,39,0,2,1,1,g1,null
42,false,39,1,2,1,1,c2,null
42,false,39,2,2,1,1,g2,null
42,false,39,3,2,1,1,c1,null
42,false,40,0,2,1,1,c2,null
42,false,40,1,2,1,1,c1,null
42,false,40,2,2,1,1,g2,null
42,false,40,3,2,1,1,g1,null
42,true,0,0,2,2,1,g1,right
42,false,41,0,2,2,1,g2,null
42,false,41,1,2,2,1,c1,null
42,false,41,2,2,2,1,g1,null
42,false,41,3,2,2,1,c2,null
42,false,42,0,2,2,1,g2,null
42,false,42,1,2,2,1,g1,null
42,false,42,2,2,2,1,c1,null
42,false,42,3,2,2,1,c2,null
42,false,43,0,2,2,1,c1,null
42,false,43,1,2,2,1,g1,null
42,false,43,2,2,2,1,g2,null
42,false,43,3,2,2,1,c2,null
42,false,44,0,2,2,1,g1,null
42,false,44,1,2,2,1,c2,null
